Process Tree Structure,Description
"*( X( 'prepare order', 'order receipt' ), ->( 'processing start', ->( 'data collection', 'report generation' ) ) )","The following work can be repeated over and over. We have two alternatives to choose from: either 'prepare an order' or 'receive a receipt'. Think of this as a sales workflow where customers can either place a new order (prepare order) or receive a confirmation of their existing order (order receipt). Following, processing starts for an order (either new or existing). This might involve data collection and is followed by generating a report to retrieve customer information, product details, shipping addresses, and so on. We generate a report or output based on the collected data. When the report is generated the entire flow starts again with preparing an order or ordering a receipt. The process can only stops after either a order is prepared or a receipt is ordered. "
"X( X( 'Process Payment', +( 'Verify Card', 'Authorize Transaction' ) ), ->( 'Create Menu', +( 'Prepare Order', 'Pack Goods' ) ) )","The process represents an online food ordering and payment system. Where a customer creates a menu and then the restaurant is preparing an order while also packing goods. The payment system is indepent from the rest and either is solely done by processing a payment or should be shown as simultaneously verifying cards and authorizing transactions."
"X( 'analyze data', *( X( 'develop algorithm', *( 'design model', *( 'generate report', 'execute script' ) ) ), X( 'test software', 'validate results' ) ) )","The process starts with a choice between two alternatives: 'Analyze Data' and a recursive process, where each iteration can involve developing an algorithm or designing a model, or generating a report and executing a script. Another possibility within the recursive process is the testing of software and the validation of results."
"->( +( 'Order Catering', +( 'Deliver Fridge Food', X( 'Choose Guest Arrival Time', X( 'Prepare Food and Cutlery', 'Arrange Delivery' ) ) ) ), +( 'Book Reservation', X( 'Reserve Hotel Room', 'Select Cutlery' ) ) )","This is the top-level process that should visualize different services with a twist. Our specialty is that catering has to be odered first, so that food is delivered to the fridge of the customer, then one out of three decisions can be taken. First decision option is to choose a guest arrival time, the second decision option is to prepare food and cutlery and the third decision option is to arrange a delivery. When all of these steps are done and the decision is made, then and only then a reservation can be booked at our special hotel where the guest either can enjoy a stay at the hotel by reserving a hotel room or the guest can select cutlery to keep the experience as a memory."
"->( *( 'Design Prototype', *( 'Develop Algorithm', 'Integrate New Feature' ) ), +( X( 'Analyze Results', 'Conduct Experiment' ), X( 'Implement Change', *( 'Test Compatibility', *( 'Debug Error', 'Fix Bug' ) ) ) ) )","The goal of this process is to enhance an existing software product by adding new features while ensuring compatibility and quality. The process involves designing a prototype, developing algorithms and integrating new features to the existing software. All of the designing, developing and integrating steps are performed a number of times until finally one group is responsible to analyze improvement results and therefore conduct experiments repeatedly and parallelly another group is responsible for either implementing the changes or testing compatibility, often debugging several errors and fixing various bugs."
"X( X( ->( 'Approve Loan Application', 'Verify Credit History' ), X( 'Send Notification Email', 'Get Customer Information' ) ), 'Initiate Loan Application' )","Our work is simple, everytime we just initiate loan applications or get customer information or send notification emails. Sometimes our work requires a second activity, whenever we need to approve loan applications, we also verify the credit history of our customers."
"X( ->( 'PublishFinalize', 'Review' ), *( 'DesignBook', X( 'CreateConcept', *( 'RefineDesign', 'EditDetails' ) ) ) )","Here, I am going to describe the entire process to publish a book with our agency. First please follow and execute all steps we list in the 'PublishFinalize' step, which includes any necessary formatting, proofreading, or other preparations for publication by yourself. Afterwards a professional review is executed by us. Finally we enter the phase of designing the book, creating a concept, as well as refinining the design and editing the details. We offer to you to do the refinement of the design and the edit of the details until you are satisfied. If after multiple iterations you are still not happy, then we will restart the design of the book with a new designer for you who creates a new concept and again refines the design as well as edits the details as necessary until you are happy with the result."
"X( +( 'Pickup Packages', +( 'Order Menu', 'Deliver Packages' ) ), +( 'Take Order', *( 'Make Food', +( 'Serve Food', 'Prepare Coffee' ) ) ) )","There are two main options to be followed. When following the first main option, you will need to take orders while making food, and sometimes you are also required to prepare coffee and serve food. When following the second main option, you need to pickup a packages from our partners and you are responsible for delivering packages to our customers. During your workday you can order a menu whenever you like."
"->( X( 'Order Product', ->( X( 'Review Invoice', 'Create Purchase Order' ), +( 'Make Payment Package', 'Authorize Transaction' ) ) ), ->( 'Process Claim', X( 'Verify Information', 'Ship Goods' ) ) )","Either order a product or review an invoice or create a purchase order. If you review an invoice or create a purchase order then please authorize the transaction while you also make a payment package. Always and your work by processing a claim and then by deciding to ship goods or verify all information is accurate and complete."
"+( *( 'Capture', *( ->( 'Fetch', 'Generate' ), +( 'Browse', 'Index' ) ) ), ->( 'Dispatch', ->( 'Extract', X( 'Assign', 'Handle' ) ) ) )","Your mate dispatches notifications, extracts relevant information, and assigns or handles it accordingly. Simultanously, you capture, fetch and generate data that is then beeing indexed while also browsed. After indexing and browsing are completed, fetch and generated more data. Either hand over the generated data for indexing and browsing again or otherwise repeat the process at capture data. Finally, continue your work until you have captured enough data. When enough data is capture and all steps from your mate are completed, finish your shift. "
"+( ->( 'Conduct Experiment', ->( 'Analyze Results', 'Collect Samples' ) ), +( 'Prepare Data', 'Summarize Findings' ) )","Per day you will conduct one experiment for laboratory work. The order is crucial here: the experiment must be conducted before analyzing the results, and collecting samples only makes sense after analyzing the results. Somewhere within or outside these three steps another group will summarize the findings from the previous work and another group will prepare data for the next experiment the next day."
"*( X( 'Order Materials', *( 'Pack Furniture', 'Clean Carpets' ) ), ->( 'Assemble Desk', X( 'Bookshelf', 'Edit Documents' ) ) )*","My work can be boring at times. It so happens, that I just need to order materials or pack furniture and thats it. Other times, I am also required to clean carpets after packing furniture and then they ask me to pack even more furniture and clean even more carpets. Only when they think I have packed anough furniture they leave me alone again. What I have described is my daily work. However it also happend several times that after doing my daily work I was put to the task to assemble a desk and then a bookshelf, one time after assembling a desk I even needed to edit documents. And is nothing happend I just returned to my daily work again."
"*( *( 'analyze_samples', *( 'extract_features', 'store_results' ) ), *( ->( 'prepare_data', 'run_analysis' ), *( 'interpret_results', 'present_findings' ) ) )","1. Analyzing individual samples by extracting features and storing results. 2. Preparing data for analysis by cleaning, transforming, or aggregating it. 3. Running parallel analyses on the prepared data to generate insights. 4. Interpreting the results and presenting findings in a meaningful way. 5 present findings with statistics and diagrams"
"*( *( ->( 'SendPackages', 'ProcessReturns' ), *( 'VerifyProductQuality', 'StoreData' ) ), +( 'GetNewStock', 'CreateInvoice' ) ), ->( 'PrepareOrder', 'ManageCustomer' ) )","Start your day always by sending all packages first and then processing the collected returns from the day before. When you are done with all packages, verify the quality of new products that the manager shows to you, sometimes you will need to store all relevant data to a database and verify the product quality for different conditions. On a busy day your work already ends with these tasks. However if you have time then prepare orders and help team A by managing some of their customers. In this case do what you would do for your own customers, i.e. first send packages and then process the returns before doing the product quality verifications and storage of data when necessary. In other cases when you have time and team A does not need assistance get some new stock and create invoices for team B."
"->( 'Prepare Order', +( 'Review Invoice', ->( 'Process Payment', *( 'Pack Item', 'Ship Package' ) ) ) )","The process contains in total 5 activities from beginning to the end with three main parts: order preparation, order processing and shipment. When the order comes, the process starts when the shop owner does 'prepare order'. Afterward there are two parallel processes 'review invoice' and 'process payment'. The invoice is reviewed to ensure all information from customers are correct including quantities of items, prices, special offers, applied taxes, etc. Simultanously, payment is also processed by checking payment method and validation. Following the 'process payment', the item is packed afterwards in box or bag. If there are more items, the current package gets shipped and the next item gets packed."
"*( *( 'Prepare a Proposal', ->( 'Review Contract', 'Sign Document' ) ), ->( 'Send Invoice', *( 'Process Payment', 'Verify Account Balance' ) ) )*","The team starts by preparing a proposal in detail for potential customers. If the customers are interested in the proposal, this results in the team reviewing the contract and signing documents with customers. Then the document is returned to team to prepare again another proposal and continue the process. After all documents are signed and confirmed, then either the process ends, or an invoice is sent to customers to ask for payment process. Occasionally, a verifycation of the account balance is needed, in which case they ask for process payment is reissued. Afterwards, new proposals can be prepared. The process will continue until all proposals are processed with all steps above."
"->( X( *( 'Create', 'Test' ), +( 'Submit', 'Prepare' ) ), ->( 'Develop', ->( 'Conduct', 'Report' ) ) )","- If the resources are not available, process starts with parallel processes Prepare (preparing resources or material needed for the project) and Submit (available materials to authorities or stakeholders) - If the resources are available, process starts with Create the design, report or prototype and then do a test. If anything changes in criteria/alerts during test phase, then return to Create step - Both of two above starting points continue the process with the Develop step which involves refining or elaborating on the created item. Once development is complete, the process moves on to Conduct the tasks (e.g., testing or evaluation) and then does Report for the results."
"X( 'Design System', ->( X( 'Conduct User Testing', 'Define Requirements' ), X( 'Develop Prototype', *( 'Enlist Stakeholder Feedback', ->( 'Finalize Product Specs', ->( 'Harmonize Design Elements', 'Gather User Feedback' ) ) ) ) ) )","This process involves designing a system with several alternative and sequential tasks. It begins with Design System and directly complete the process. Besides, the process provides two alternatives to start: Define Requirements to outline system needs or Conduct User Testing to gather user insights. Next, it offers a choice between Develop Prototype or a nested sequence, then process can be completed. In the nested sequence, Enlist Stakeholder Feedback gathers input from key stakeholders. This is followed by Finalize Product Specs, specifying the system details, leading to Harmonize Design Elements, ensuring consistency. The final step in this path is to Gather User Feedback to validate the design, creating a flexible and comprehensive approach to system development. The nested sequence from Enlist Stakeholder Feedback to Gather User Feedback continues until the feedback is collected as requested. Then the sequence ends up after enlisting stakeholder feedback."
"*( +( ->( 'Order Pizza', +( 'Get Ingredients', 'Fetch Food' ) ), *( 'Prepare Hamburger', 'Cook Chicken' ) ), ->( 'Book Table', +( ->( 'Deliver Dinner', 'Gather Groceries' ), 'Eat Entree' ) ) )","When pizza is ordered (Order Pizza), at the same time staff Get Ingredients and Fetch Food. Concurrent process is to Prepare Hamburger which multiple hamburgers can be prepared and multiple chickens can be cooked. Both two subprocesses can be end up here if the food is taken away. Alternatively, customers can Book Table, where they can Eat Entree (enjoy the food at restaurant) and simultanously, staff Deliver Dinner, arranging meal delivery, then Gather Groceries for upcoming days. This process repeats during the opening time of restaurant."
"->( 'Order_books', *( 'Review_proposals', ->( 'Create_presentation', *( 'Edit_text', 'Finalize_report' ) ) ) )","This describes a day work. I start my day when partners want to order books (Order_books). They also need the our proposals about list of books and their prices. That is why I need to review available proposals (Review_proposals) which aims to evaluate and choose the best options. If partners request to have a presentation, then I create one (Create_presentation) where the outline and main content are developed. This step branches into two concurrent sub-tasks: Edit_text to refine the content and Finalize_report to complete the documentation, ensuring a thorough and well-organized workflow from gathering information to finalizing deliverables. The report will be editted until it is perfect. According to the final report, the proposals will be again reviewed. The process is iterated until the proposals are carefully reviewed"
"*( +( 'Schedule Meetings', ->( 'Send Notifications', X( 'Hold Discussions', 'Conduct Interviews' ) ) ) ), ->( 'Analyze Data', 'Prepare Report' ) )","The main flow is that recruiter Sends Notifications to inform participants about the meetings. After notifications are sent, recruiter needs to Conduct Interviews with candidates. Other work is that he or she needs to Hold Discussions with team about the interviews. Simultanously, Meetings are scheduled. After those subprocesses, recruiter Analyzes Data and then Prepare Report. After report is prepared, the process will restart. The end point is after Holding Discussions or Conducting Interviews."
"X( +( 'Track Package', 'Notify Customer' ), +( 'Verify Order', ->( 'Process Payment', ->( 'Send Invoice', +( 'Receive Return', 'Prepare Shipment' ) ) ) ) )","Whenever any order is in the list, it need to be verified to ensure all details are accurate. Parallel to this is Process Payment, handling the financial transaction. After processing payment, it proceeds to Send Invoice to the customer. This step leads to preparing two parallel tasks: Prepare Shipment for dispatching the order and Receive Return for handling any returned items. Alternatively when order comes, staff needs to Track Package to monitor the shipment's status and Notify Customer at the same time to keep them informed. Those ends up an order and restart when other order comes."
"*( +( 'Send Invitation', X( +( 'Fill Form', 'Prepare Report' ), 'Wait Response' ) ), X( ->( 'Call Meeting', 'Hold Discussion' ), *( 'Conduct Interview', 'Gather Data' ) ) )","When recruiment is requested, invidations for interviews or for events will be sent and simultanously representatives Waits Responses. Another task is to Prepare Report and Fill Form before proceeding any interview or event. Then it ends up process. If it relates to recruiting process, recruiters extend process to Conduct Interview and Gather Data, focusing on collecting detailed information, while the other involves Call Meeting and Hold Discussion sequentially, facilitating planning and decision-making. The extended process restarts with sending invitations until all events or recruitment completed."
"*( +( 'Design Prototype', X( X( 'Conduct Experiment', 'Evaluate Data' ), 'Develop Algorithm' ) ), ->( 'Finalize Report', 'Prepare Materials' ) )","The process is about designing and developing a new product, which involves prototyping, algorithm development, data evaluation, experimentation, reporting, and material preparation. Design Prototype is concurrent to all later activities, initiating the creation of a preliminary model. In operation, the process offers three options: Develop Algorithm, focusing on creating computational methods, Evaluate Data, which involves analyzing collected data, and Conduct Experiment for testing hypotheses. This can be done. If report is required, then Finalize Report is conducted, where findings are compiled, followed by Prepare Materials, ensuring all necessary documentation and resources are ready. This then repeats the process if new criteria is updated until the design prototype is done, the data is analyzed and experiment is conducted."
"->( ->( 'Oversee Project Meeting', +( 'Conduct Team Review', 'Hold Project Meeting' ) ), *( 'Review Reports', *( 'Review Report Content', X( 'Submit Report', 'Review Report Format' ) ) ) )","This process begins with Oversee Project Meeting, ensuring that the meeting is effectively planned and coordinated. It then progresses to two parallel tasks: Hold Project Meeting to facilitate discussion and Conduct Team Review to evaluate team performance. Following these activities, it transitions to Review Reports, focusing on analyzing and assessing report details. The process usually ends here but sometimes also a detailed review of Report Content is necessary, ensuring accuracy and completeness, then reports are reviewed again with editted contents. After reviewing report content, process is followed by two alternatives: Review Report Format to ensure proper formatting or Submit Report, finalizing the process. Afterward, the report content is reviewed again."
"+( 'publish', +( 'write book', X( +( 'edit chapter', 'design chapter' ), ->( 'publish book', *( 'design header', *( 'format headline', 'headline design' ) ) ) ) ) )","This represents the publication of a book. In the process, Publish is concurrent to all activities, including setting the overall goal of making content available and end of process. The main process is that writer writes a book, where the main content is created. This could completes the process. At the same time, either he or his partner can Designs Chapter for visual layout and Edit Chapter, this could end up the process. The second task in the main process is to publish book. After that, the next step includes Design Header for creating section headings and a following process involving Format Headline to ensure proper structure and headline design for consistency. This step can be proceeded multiple times until all is ready to be publish. Then it fulfills the process."
"+( ->( 'Create Report', ->( 'Conduct Interview', 'Identify Risks' ) ), *( X( 'Estimate Costs', *( 'Design Prototype', +( 'Handle Feedback', 'Gather Requirements' ) ) ), X( 'Finalize Proposal', 'Review Document' ) ) )","This process starts with Create Report, initiating the documentation process. It then moves sequentially to Conduct Interview with experts to gather insights, then Risks are identified to assess potential challenges and process ends up here. Concurrently, financial team Estimates Costs, focusing on financial planning, and technical team Designs Prototype. When both tasks are done then process can be completed or continues with Finalize Proposal to complete the project plan and Review Document to ensure all documentation is thorough and accurate. When those are finished then if any changes regars to Cost or Prototype, team needs to work again on cost estimation and prototype design until those are accepted. For more customer engagement, the process is extended after protoype is designed, then team handle feedback and gather requirements at the same time. If any further decision is made as regards Prototype, then it is demanded to be again designed."
"*( 'Process Customer Order', *( 'Verify Product Availability', +( 'Prepare Shipping Box', ->( 'Process Order', 'Ship Package' ) ) ) )","This process begins with Process Customer Order, handling the initial stages of an order. On Friday the work ends here. On other days, it then moves to Verify Product Availability, ensuring that the requested items are in stock. Afterward, customer orders are again processed or followed by 2 branches. One of that is to Prepare Shipping Box, where workers have to double check the items in the Shipping Box. Besides preparing Shipping Box, workers also Process Order, completing the order procedures, and then Ship Package, ensuring the package is sent to the customer.  if something is missing during Preparing Shipping Box or after Shipping Package, workers need to again verify the product availability."
"->( +( 'Receive Inventory Report', 'Confirm Shipment Details' ), ->( 'Order Goods', +( 'Process Customer Payment', *( 'Package Item', 'Label Package' ) ) ) ) )","Inventory controller have to Confirm Shipment Details, ensuring that all logistics information is accurate and up-to-date. Concurrently, he handles Receive Inventory Report, which provides a detailed account of available stock. Following these steps, he passes list of Order Goods to other team members, where new items are requested from suppliers. This is followed by Process Customer Payment, ensuring that payment transactions are completed successfully. The payment controller completes his task. Concurrently, workers Package Items, which involves preparing the product for delivery, and Label Package, ensuring the package is correctly addressed and ready for shipment. The workers have continuously package items and label packages and end up their daily work at the end of the day or when the orders are out of stock."
"*( 'Review Meeting', X( +( ->( 'Prepare Presentation', 'Obtain Stakeholder Feedback' ), 'Write Report' ), +( 'Assign Task', *( 'Conduct Research Study', 'Analyze Data' ) ) ) )","During the process, the project manager often works with stakeholders or team gathers to assess progress and discuss plans therefore, Reviewing Meeting is prerequisite. If it relates to team meeting, it  involves Assign Task and also Conduct Research Study to gather insights. After Research study is conducted, Analyze Data aims to interpret findings. During analysing data, if lacking data or theoretical review, then repeating the Conduct Research Study. When the tasks are assigned and the loop of conducting research study and analysing data, this process is repeated with Review Meeting. The second task is proceeded in request when data is available, which has to write report for boss, and parallel to Prepare Presentation, then Obtain Stakeholder Feedback, gathering input and approval from key stakeholders. This path also restarts with Review Meeting."
"+( ->( 'Prepare Proposal', 'Hire Candidate' ), X( 'Conduct Interviews', *( 'Review Budget', X( 'Evaluate Options', +( 'Finalize Features', X( 'Develop Design', 'Generate Requirements' ) ) ) ) ) )","During Recruitment Process, Recruiting Team needs to Prepare Proposal, drafting a comprehensive plan, and then Hire Candidate, and completes the process. Concurrently, team Conducts Interviews, gathering important information. Additional task is to Review Budget for the recuitment. This can end up when the Interviews are conducted or budget is accepted. If there are multiple positions and need to make decisions about which options are mostly relevant, then options are evaluated. Also with this case, other member needs to develop design or generate requirements about the job descriptions and all the criteria. The features are parallel finalized. When all are completed, then budget is again reviewed until all criteria is fulfilled."
"->( X( 'Build Prototype', *( 'Gather Feedback', 'Engage Stakeholders' ) ), *( 'Design Product', +( 'Conduct Research', 'Hire Experts' ) ) ), ->( 'Approve Budget', ->( 'Finalize Design', 'Implement Solution' ) ) )","With demand to launch new product or update the product version, Design Product is essential, where the initial concept is created. The design team needs to conduct research and hire experts to complete the final design product. Technical team needs to take care of building prototype (with some initial features or full product designed) and marketing team needs to gather various feedback and engage stakeholders. After all work of those team, a proposal is handed to the boss to get budget approvement, then all teams need to finalize design and implement solution. This completes the process."
" X( 'Conduct Interview', X( 'Review Document', +( 'Plan Meeting', X( 'Schedule Follow-up', 'Send Report' ) ) ) )","When company demands to hire more people. The interviews need to be conducted during the following workload. Recruiters share tasks together. One will Review Document, other schedules follow-up and send report, also simultanously plan meeting. This ends up the process."
"->( ->( 'Prepare Order', ->( 'Check Inventory', *( 'Fill Shipment', 'Fill Shipment' ) ) ) ), X( 'Confirm Shipping', 'Review Payment' ) )","This process model starts with Prepare Order when order is received.Then seller Checks Inventory, ensuring that the required items are in stock. Following this, it branches into the task to Fill Shipment, where the order is packed and prepared for dispatch, and multiple shipments are filled. The follow-up process then need two employees. One will Review Payment, verifying the transaction details, the other will Confirm Shipping, ensuring that the shipment details are accurate and the package is ready for delivery. This ends up the process."
"*( +( 'Create_Presentation', 'Prepare_Report_for_Client' ), X( ->( 'Provide_Feedback_to_Collaborator', 'Review_and_Approve_Document' ), ->( 'Send_Follow_Up_Email_to_Customer', X( 'Follow_up_on_Open_Tickets', 'Schedule_Meeting_with_Stakeholder' ) ) ) )","As a consultant, the daily work is to prepare report for client or create presentation. Those can be done if the customers satisfy with the results. Otherwise, there are two tasks to work on. First task is to provide feedback to collaborator to ask for review and approve documents.The second task is to send follow up email to customers, offering a choice between Schedule Meeting with Stakeholder to facilitate discussions or Follow up on Open Tickets to address pending issues. Both tasks continue with reports and presentations which will be again prepared and handed over again if neccessary or external requests from customer."
"*( 'Interview Candidate', *( 'Hire Manager', +( 'Train Trainer', X( +( 'Evaluate Resumes', 'Hire Committee' ), *( 'Recruit Recruiter', *( 'Screen Applicants', 'Group Interviews' ) ) ) ) ) )","When there is a request to recruit more people, recruiters need to Interview Candidate, who is one of potential new hires. If the candidate is working student or internship with a simple process and candidate reaches all the requirements from department, then the process ends up. When it relates to Hire Manager, where need a precise decision from department, recruiter also arrange to interview candidates. When it involves Train Trainer, which relates to hiring manager request and follow the same flow as described above. Concurrently, if it involves Recruit Recruiter, the applicants need to be screened. Group Interviews are applied. Or if company needs to hire commitee, then resumes are required to be evaluated. This process continues until all the requested positions are filled or end of the day."
"+( ->( 'Fill Order', 'Package and Ship' ), +( 'Prepare Order', ->( 'Review Order', 'Process Payment' ) ) )","This process has two sub processes that run in parallel. The first one is the parallel execution of 'Prepare Order' and the sequence of first 'Review Order' and then 'Process Payment'. The second one is just a 'Fill Order' and then 'Package and Ship'."
"->( 'process_orders', +( 'handle_customer_service', +( X( 'conduct_quality_control', 'manage_inventory' ), *( 'check_order_availability', 'ship_products' ) ) ) )","The process starts with 'process_orders'. Then comes 'handle_customer_service", while simultaneously the following happens: Two sub processes start in parallel. In one, either 'manage_inventory' happens, or 'conduct_quality_control' appears. In the other, 'check_order_availability' is executed. Afterwards, either 'ship_products' happens and then 'check_order_availability' again, triggering a loop, or after the choice of 'manage_inventory' or 'conducty_quality_control' the process ends."
"+( 'Write Report', +( +( 'Make Phone Call', 'Review Documents' ), X( +( 'Create Presentation', 'Analyze Data' ), X( 'Conduct Interview', 'Send Email' ) ) ) )","The process presented here starts with two parallel branches. The first branch contains the activity 'Write Report'. The second branch is the simultaneous execution of two sub branches. The first sub branch is either 'Analyze Data' and 'Create Presentation' in parallel order, or the choice of either 'Send Email' or 'conduct Interview'. The second sub branch is both 'Make Phone Call' and 'Review Documents' in any order. After 'Write Report' and both sub branches, the process terminates."
"+( X( 'Respond to Inquiry', 'Resolve Issue' ), +( 'Process Order', ->( 'Receive Goods', ->( 'Packaging and Shipping', *( 'Prepare Shipping Materials', *( 'Seal Package', 'Label and Ship' ) ) ) ) ) )","For the given process, I need to either respond to an inquiry or resolve an issue. At the same time, I must also process an order and start a chain of activities. This chain consists of receive goods, then packaging and shipping, then prepare shipping materials. After preparing shipping materials, the process can terminate if all of the aforementioned is completed. Or I need to seal the package. I can then return to preparing shipping materials, or I may need to label and ship and then return to seal package."
"*( +( +( 'Confirm with Customer', 'Inspect Order Details' ), 'Receive Order' ), +( X( 'Evaluate Order', 'Cancel' ), +( X( 'Archive Order', 'Notify Customer' ), ->( 'Send Confirmation Email', 'Update Database' ) ) ) )","This is a looping process. It starts with the parallel execution of 'Receive Order' on the one hand and the parallel execution of 'Inspect Order Details' and 'Confirm with Customer' on the other hand. Then either the process terminates, or the following happens. In Parallel, we see the choice of either 'Evaluate Order' or 'Cancel', and the parallel execution of the sequence of 'Send Confirmation Email' and then 'Update Database', and the choice of 'Notify Customer' or 'Archive Order'. In this case, the process loops back to the very beginning, repeating the whole process."
